Day,Time,Group,Metric,Unit,Amount
2018-10-15,12:00 AM,Study Meal,"Heart Rate (Apple Health)",bpm,92.0
2018-10-16,12:00 AM,Study Meal,"Heart Rate (Apple Health)",bpm,51.0
2018-10-17,12:00 AM,Study Meal,"Heart Rate (Apple Health)",bpm,56.0
2018-10-18,12:07 AM,Study Meal,"Heart Rate (Apple Health)",bpm,58.0
2018-10-19,12:02 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-10-20,12:02 AM,Study Meal,"Heart Rate (Apple Health)",bpm,85.0
2018-10-21,12:07 AM,Study Meal,"Heart Rate (Apple Health)",bpm,51.0
2018-10-22,12:00 AM,Study Meal,"Heart Rate (Apple Health)",bpm,56.0
2018-10-23,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,55.0
2018-10-24,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,51.0
2018-10-25,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2018-10-26,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,60.0
2018-10-27,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-10-28,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,69.0
2018-10-29,12:04 AM,Study Meal,"Heart Rate (Apple Health)",bpm,51.0
2018-10-30,12:05 AM,Study Meal,"Heart Rate (Apple Health)",bpm,66.0
2018-10-31,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,68.0
2018-11-01,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,67.0
2018-11-02,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,55.0
2018-11-02,1:30 PM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-11-03,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,62.0
2018-11-03,1:35 PM,Study Meal,"Systolic Blood Pressure (Apple Health)",mmHg,115.0
2018-11-03,1:35 PM,Study Meal,"Diastolic Blood Pressure (Apple Health)",mmHg,75.0
2018-11-04,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,56.0
2018-11-04,8:50 AM,Study Meal,"Weight (Apple Health)",lbs,167.0
2018-11-05,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,88.0
2018-11-05,8:50 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-11-06,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,63.0
2018-11-07,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2018-11-07,1:29 PM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-11-08,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,60.0
2018-11-08,1:29 PM,Study Meal,"Weight (Apple Health)",lbs,171.0
2018-11-09,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,90.0
2018-11-10,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,101.0
2018-11-10,10:14 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-11-10,10:31 AM,Study Meal,"Systolic Blood Pressure (Apple Health)",mmHg,123.0
2018-11-10,10:31 AM,Study Meal,"Diastolic Blood Pressure (Apple Health)",mmHg,83.0
2018-11-11,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,67.0
2018-11-11,9:51 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-11-12,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,62.0
2018-11-13,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,59.0
2018-11-13,6:00 AM,Study Meal,"Weight (Apple Health)",lbs,168.0
2018-11-14,12:03 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-11-15,12:00 AM,Study Meal,"Heart Rate (Apple Health)",bpm,61.0
2018-11-16,12:00 AM,Study Meal,"Heart Rate (Apple Health)",bpm,103.0
2018-11-17,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,67.0
2018-11-18,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2018-11-18,7:11 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-11-19,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,63.0
2018-11-19,7:11 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-11-20,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,52.0
2018-11-21,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,51.0
2018-11-21,10:34 PM,Study Meal,"Weight (Apple Health)",lbs,167.0
2018-11-22,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2018-11-23,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,65.0
2018-11-24,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,62.0
2018-11-25,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-11-25,10:35 PM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-11-26,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,58.0
2018-11-26,10:34 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-11-26,10:35 AM,Study Meal,"Systolic Blood Pressure (Apple Health)",mmHg,126.0
2018-11-26,10:35 AM,Study Meal,"Diastolic Blood Pressure (Apple Health)",mmHg,84.0
2018-11-27,,Study Meal,"Weight",lbs,171.0
2018-11-27,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-11-28,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,63.0
2018-11-28,6:32 AM,Study Meal,"Weight (Apple Health)",lbs,171.0
2018-11-29,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,58.0
2018-11-29,6:32 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-11-30,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,66.0
2018-11-30,7:23 AM,Study Meal,"Weight (Apple Health)",lbs,171.0
2018-12-01,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,55.0
2018-12-01,7:23 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-12-02,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,59.0
2018-12-02,1:23 PM,Study Meal,"Weight (Apple Health)",lbs,167.0
2018-12-03,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,52.0
2018-12-04,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-12-05,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-12-06,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-12-07,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,63.0
2018-12-08,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,61.0
2018-12-08,10:43 AM,Study Meal,"Weight (Apple Health)",lbs,168.0
2018-12-08,10:44 AM,Study Meal,"Diastolic Blood Pressure (Apple Health)",mmHg,89.0
2018-12-08,10:44 AM,Study Meal,"Systolic Blood Pressure (Apple Health)",mmHg,127.0
2018-12-09,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,55.0
2018-12-10,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,56.0
2018-12-11,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-12-13,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,66.0
2018-12-14,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,64.0
2018-12-15,6:54 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-12-16,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,55.0
2018-12-16,6:54 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-12-17,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,67.0
2018-12-17,7:45 AM,Study Meal,"Weight (Apple Health)",lbs,171.0
2018-12-18,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,67.0
2018-12-19,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,62.0
2018-12-19,6:26 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-12-19,7:26 AM,Study Meal,"Systolic Blood Pressure (Apple Health)",mmHg,115.0
2018-12-19,7:26 AM,Study Meal,"Diastolic Blood Pressure (Apple Health)",mmHg,82.0
2018-12-20,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,49.0
2018-12-21,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2018-12-21,7:03 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-12-22,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,68.0
2018-12-22,7:03 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-12-23,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,67.0
2018-12-24,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,63.0
2018-12-25,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-12-26,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,63.0
2018-12-26,7:04 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2018-12-27,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,60.0
2018-12-28,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,55.0
2018-12-29,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-12-29,8:57 AM,Study Meal,"Weight (Apple Health)",lbs,171.0
2018-12-30,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,65.0
2018-12-30,8:57 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2018-12-31,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2018-12-31,9:30 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2019-01-01,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,62.0
2019-01-02,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,60.0
2019-01-03,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,60.0
2019-01-04,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2019-01-04,7:18 AM,Study Meal,"Weight (Apple Health)",lbs,171.0
2019-01-05,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,52.0
2019-01-05,7:17 AM,Study Meal,"Weight (Apple Health)",lbs,172.0
2019-01-06,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,74.0
2019-01-06,9:39 AM,Study Meal,"Weight (Apple Health)",lbs,171.0
2019-01-07,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,53.0
2019-01-07,8:19 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2019-01-08,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,61.0
2019-01-09,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2019-01-10,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,54.0
2019-01-11,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,66.0
2019-01-12,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,64.0
2019-01-12,8:19 AM,Study Meal,"Weight (Apple Health)",lbs,169.0
2019-01-14,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,57.0
2019-01-15,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,56.0
2019-01-16,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,74.0
2019-01-16,2:50 PM,Study Meal,"Weight (Apple Health)",lbs,170.0
2019-01-17,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,59.0
2019-01-17,7:25 AM,Study Meal,"Systolic Blood Pressure (Apple Health)",mmHg,113.0
2019-01-17,7:25 AM,Study Meal,"Diastolic Blood Pressure (Apple Health)",mmHg,80.0
2019-01-17,7:34 AM,Study Meal,"Weight (Apple Health)",lbs,170.0
2019-01-18,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,79.0
2019-01-19,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,52.0
2019-01-19,7:33 AM,Study Meal,"Weight (Apple Health)",lbs,167.0
2019-01-20,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,56.0
2019-01-21,12:01 AM,Study Meal,"Heart Rate (Apple Health)",bpm,62.0
