,Time of Measurement,Weight(lb),BMI,Body Fat(%),Body Type,Fat-free Body Weight(lb),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(lb),Muscle storage ability level,Bone Mass(lb),Protein(%),BMR(kcal),Metabolic Age
0,June 8， 2022 at 6:55:57 AM,160.4,23.8,13.3,Normal,139.0,11.4,6.0,62.6,56.0,132.0,,7.0,19.8,1732.0,52.0
1,June 1， 2022 at 6:54:00 AM,158.8,23.5,13.1,Normal,138.0,11.2,6.0,62.7,56.1,131.0,,7.0,19.8,1721.0,52.0
2,May 16， 2022 at 6:55:46 AM,161.0,23.9,13.4,Normal,139.6,11.4,6.0,62.6,56.0,132.4,,7.0,19.8,1737.0,52.0
3,May 16， 2022 at 6:39:25 AM,161.8,24.0,13.4,Normal,140.0,,,62.5,55.9,133.0,5.0,7.0,19.7,1741.0,52.0
4,May 15， 2022 at 8:32:10 AM,161.2,23.9,13.4,Normal,139.6,11.4,6.0,62.5,55.9,132.8,,7.0,19.7,1738.0,52.0
5,May 9， 2022 at 6:49:32 AM,159.6,23.6,13.2,Normal,138.6,11.3,6.0,62.7,56.1,131.6,,7.0,19.8,1727.0,52.0
6,May 2， 2022 at 6:56:14 AM,159.6,23.6,13.2,Normal,138.6,11.3,6.0,62.7,56.1,131.6,,7.0,19.8,1727.0,52.0
7,April 26， 2022 at 6:58:31 AM,159.2,23.6,13.1,Normal,138.2,11.3,6.0,62.7,56.1,131.4,,7.0,19.8,1724.0,52.0
8,April 25， 2022 at 6:59:15 AM,160.2,23.7,13.3,Normal,139.0,11.3,6.0,62.6,56.0,132.0,,7.0,19.8,1731.0,52.0
9,April 21， 2022 at 6:08:45 AM,161.0,23.9,13.4,Normal,139.6,11.4,6.0,62.6,56.0,132.4,,7.0,19.8,1737.0,52.0
10,April 19， 2022 at 6:51:41 AM,159.2,23.6,13.1,Normal,138.2,11.3,6.0,62.7,56.1,131.4,,7.0,19.8,1724.0,52.0
11,April 18， 2022 at 6:52:14 AM,160.2,23.7,13.3,Normal,139.0,11.3,6.0,62.6,56.0,132.0,,7.0,19.8,1732.0,51.0
12,April 13， 2022 at 6:41:16 AM,158.2,23.4,13.0,Normal,137.6,11.2,6.0,62.8,56.2,130.8,,6.8,19.8,1719.0,51.0
