,date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
0,2020-04-14,83.0,77.0,96.0,96.0,97.0,68.0,67.0,100.0,23670.0,25740.0,2070.0,6450.0,12900.0,4320.0,31.0,92.0,150.0,12240.0,2020-04-13T22:51:07-07:00,2020-04-14T06:00:07-07:00,56.87,50.0,34.0,-0.18,None,13.0,86,59,78,78,100,99,524,2592,11227,9347,41040,29580,9780,3480,1200,1320,1.5,2,90.0,76,None,None,None,98.0,100.0,None,97.0
1,2020-04-15,94.0,96.0,100.0,97.0,100.0,89.0,75.0,100.0,29190.0,30660.0,1470.0,9000.0,13950.0,6240.0,30.0,95.0,330.0,15420.0,2020-04-14T21:36:31-07:00,2020-04-15T06:07:31-07:00,56.15,50.0,34.0,0.0,0.09,13.75,83,55,95,60,100,99,351,2385,6174,5627,42960,30540,8100,660,1320,2820,1.375,1,92.0,95,None,75,None,100.0,94.0,None,100.0
2,2020-04-16,79.0,81.0,98.0,54.0,88.0,84.0,37.0,100.0,24570.0,28140.0,3570.0,7950.0,14490.0,2130.0,22.0,87.0,2250.0,15150.0,2020-04-15T22:12:33-07:00,2020-04-16T06:01:33-07:00,58.73,52.0,27.0,0.06,0.04,13.625,77,51,100,43,100,98,363,2439,7439,6009,44700,27120,10200,1980,660,1740,1.4375,0,79.0,68,None,79,None,98.0,88.0,None,80.0
3,2020-04-17,87.0,83.0,97.0,95.0,95.0,78.0,72.0,100.0,25170.0,28140.0,2970.0,7110.0,14250.0,3810.0,28.0,89.0,300.0,13440.0,2020-04-16T23:14:24-07:00,2020-04-17T07:03:24-07:00,58.12,51.0,37.0,-0.01,0.04,14.5,73,58,78,43,100,98,434,2497,9934,8011,40440,30720,8520,4200,120,2400,1.46875,2,88.0,88,89,88,78,100.0,85.0,None,97.0
4,2020-04-18,82.0,74.0,77.0,97.0,93.0,82.0,70.0,97.0,23070.0,25920.0,2850.0,4620.0,12150.0,6300.0,23.0,89.0,240.0,12300.0,2020-04-17T23:41:30-07:00,2020-04-18T06:53:30-07:00,59.73,55.0,29.0,-0.01,0.03,15.625,78,91,100,43,100,99,482,2465,11312,8989,24960,37320,10380,4260,240,9240,1.4375,0,78.0,80,83,93,75,100.0,82.0,None,41.0
5,2020-04-19,89.0,92.0,97.0,95.0,100.0,69.0,75.0,100.0,27150.0,28440.0,1290.0,6930.0,16110.0,4110.0,39.0,95.0,330.0,14160.0,2020-04-18T22:43:15-07:00,2020-04-19T06:37:15-07:00,56.76,48.0,35.0,-0.03,0,13.75,68,72,100,25,100,98,329,2357,7794,5740,34620,30000,9540,2940,60,9240,1.375,0,87.0,92,88,99,75,100.0,100.0,None,59.0
6,2020-04-20,82.0,83.0,96.0,43.0,100.0,74.0,75.0,100.0,25170.0,26400.0,1230.0,6450.0,16980.0,1740.0,36.0,95.0,330.0,13200.0,2020-04-19T22:44:10-07:00,2020-04-20T06:04:10-07:00,57.94,52.0,34.0,-0.11,-0.04,14.0,74,59,95,25,100,98,324,2369,5948,5164,40740,26340,7980,1200,1140,9000,1.40625,1,82.0,79,85,97,81,100.0,88.0,None,58.0
7,2020-04-21,78.0,73.0,76.0,42.0,97.0,78.0,97.0,100.0,22770.0,24840.0,2070.0,4530.0,16560.0,1680.0,34.0,92.0,810.0,12390.0,2020-04-20T23:14:36-07:00,2020-04-21T06:08:36-07:00,57.84,52.0,28.0,0.15,0.01,13.5,79,66,95,43,100,99,483,2528,10195,8383,37740,34200,10080,3420,960,0,1.46875,1,79.0,73,81,78,83,91.0,94.0,83,49.0
8,2020-04-22,90.0,95.0,99.0,95.0,96.0,73.0,70.0,100.0,27870.0,30660.0,2790.0,8430.0,15450.0,3990.0,35.0,91.0,210.0,15600.0,2020-04-21T21:31:02-07:00,2020-04-22T06:02:02-07:00,56.25,50.0,36.0,0.01,0.04,14.875,81,91,78,43,100,98,293,2289,6701,5256,26040,25800,7860,2880,180,23640,1.34375,2,85.0,94,87,79,79,100.0,94.0,86,66.0
9,2020-04-23,73.0,69.0,80.0,58.0,76.0,66.0,78.0,100.0,22020.0,26820.0,4800.0,4800.0,14880.0,2340.0,37.0,82.0,420.0,12540.0,2020-04-22T23:04:43-07:00,2020-04-23T06:31:43-07:00,56.48,51.0,32.0,0.23,0.14,14.875,81,73,95,43,100,98,346,2379,7986,6060,34440,31200,10020,3060,120,7560,1.40625,1,83.0,62,81,98,85,83.0,93.0,85,87.0
10,2020-04-24,81.0,90.0,85.0,28.0,93.0,76.0,72.0,100.0,26670.0,30120.0,3450.0,5100.0,20430.0,1140.0,31.0,89.0,270.0,14820.0,2020-04-23T21:45:46-07:00,2020-04-24T06:07:46-07:00,55.67,51.0,37.0,-0.15,0.05,14.625,77,49,95,43,100,98,431,2515,7305,7743,45900,24540,8640,4080,420,2820,1.5,1,89.0,78,85,95,84,99.0,100.0,86,100.0
11,2020-04-25,72.0,61.0,41.0,65.0,96.0,76.0,94.0,100.0,20070.0,22140.0,2070.0,2520.0,14970.0,2580.0,37.0,91.0,780.0,11370.0,2020-04-24T23:41:39-07:00,2020-04-25T05:50:39-07:00,56.28,51.0,33.0,-0.09,-0.01,13.375,84,96,100,43,100,100,698,2692,11572,13032,22260,36360,6360,6060,1500,13860,1.5625,0,80.0,61,78,78,83,100.0,99.0,86,75.0
12,2020-04-26,89.0,97.0,100.0,60.0,81.0,80.0,86.0,100.0,29670.0,35400.0,5730.0,9060.0,18240.0,2370.0,38.0,84.0,600.0,18420.0,2020-04-25T21:39:29-07:00,2020-04-26T07:29:29-07:00,56.48,51.0,38.0,0.13,0.03,14.125,81,97,95,43,100,100,472,2456,10684,8980,21120,33660,11040,2940,780,16860,1.4375,1,86.0,92,85,77,78,93.0,90.0,87,85.0
13,2020-04-27,83.0,77.0,80.0,90.0,97.0,86.0,67.0,100.0,23790.0,25980.0,2190.0,4770.0,15450.0,3570.0,25.0,92.0,150.0,12570.0,2020-04-26T22:44:00-07:00,2020-04-27T05:57:00-07:00,55.14,50.0,36.0,-0.1,0.07,13.375,74,63,100,43,100,100,348,2420,7155,5739,38700,27900,11880,1320,780,5820,1.40625,0,83.0,80,81,90,82,100.0,100.0,87,52.0
14,2020-04-28,75.0,79.0,95.0,36.0,86.0,54.0,78.0,100.0,24150.0,28020.0,3870.0,5700.0,17010.0,1440.0,33.0,86.0,420.0,13590.0,2020-04-27T21:50:31-07:00,2020-04-28T05:37:31-07:00,55.83,49.0,34.0,0.04,0.08,13.5,64,50,95,25,100,99,257,2305,5578,4341,45300,22560,7680,1200,480,9180,1.34375,1,78.0,65,82,82,85,100.0,100.0,86,33.0
15,2020-04-29,77.0,70.0,84.0,96.0,81.0,62.0,72.0,100.0,22050.0,26400.0,4350.0,5010.0,12180.0,4860.0,33.0,84.0,270.0,12840.0,2020-04-28T22:45:13-07:00,2020-04-29T06:05:13-07:00,59.19,53.0,31.0,0.17,0.14,14.875,77,48,95,43,100,98,435,2522,9104,7590,45900,26520,10860,2160,960,0,1.46875,1,80.0,69,78,83,88,89.0,66.0,85,100.0
16,2020-04-30,83.0,78.0,95.0,80.0,96.0,78.0,67.0,100.0,23880.0,26220.0,2340.0,5910.0,14790.0,3180.0,30.0,91.0,150.0,12630.0,2020-04-29T22:45:33-07:00,2020-04-30T06:02:33-07:00,56.58,50.0,31.0,-0.08,0.12,14.25,80,66,100,43,100,98,281,2330,6448,4708,37800,27660,7560,2640,0,10740,1.375,0,85.0,81,79,69,86,100.0,98.0,84,99.0
17,2020-05-01,88.0,86.0,97.0,77.0,99.0,82.0,78.0,100.0,25860.0,27660.0,1800.0,7080.0,15750.0,3030.0,34.0,93.0,390.0,13590.0,2020-04-30T22:26:01-07:00,2020-05-01T06:07:01-07:00,56.94,50.0,36.0,0.17,0.15,13.0,79,57,100,43,100,97,346,2424,7893,5777,42000,28200,11520,2220,360,2100,1.40625,0,87.0,91,80,96,90,90.0,98.0,85,68.0
18,2020-05-02,89.0,91.0,96.0,95.0,86.0,80.0,86.0,92.0,26850.0,31260.0,4410.0,6060.0,16530.0,4260.0,31.0,86.0,600.0,15480.0,2020-05-01T22:57:45-07:00,2020-05-02T07:38:45-07:00,56.61,51.0,43.0,0.11,0.17,15.25,83,86,100,43,100,98,578,2609,12421,10503,27720,32100,13740,2400,1380,9060,1.5,0,84.0,93,83,86,91,95.0,78.0,88,66.0
19,2020-05-03,81.0,71.0,96.0,37.0,100.0,90.0,94.0,100.0,22320.0,23280.0,960.0,6180.0,14640.0,1500.0,33.0,96.0,780.0,11670.0,2020-05-02T23:31:36-07:00,2020-05-03T05:59:36-07:00,59.26,54.0,26.0,0.31,0.29,14.125,87,84,100,60,100,98,517,2561,11920,9331,28980,31800,13680,4080,720,7140,1.5,0,77.0,77,80,75,87,78.0,78.0,84,53.0
20,2020-05-04,75.0,74.0,81.0,86.0,72.0,58.0,67.0,100.0,23130.0,28860.0,5730.0,4830.0,14880.0,3420.0,31.0,80.0,150.0,13470.0,2020-05-03T22:02:32-07:00,2020-05-04T06:03:32-07:00,56.22,48.0,38.0,-0.02,0.21,15.0,82,52,100,60,100,98,288,2414,5808,4384,43920,8160,10020,960,780,22560,1.4375,0,81.0,65,79,85,84,100.0,88.0,86,85.0
21,2020-05-06,87.0,80.0,95.0,95.0,96.0,93.0,67.0,100.0,24480.0,27000.0,2520.0,5760.0,14850.0,3870.0,25.0,91.0,150.0,13560.0,2020-05-05T22:29:52-07:00,2020-05-06T05:59:52-07:00,59.21,52.0,30.0,0.21,0.19,13.875,69,47,78,43,100,97,225,2339,4629,3549,47040,25620,10980,1200,60,1500,1.375,2,84.0,89,79,80,87,87.0,78.0,84,100.0
22,2020-05-07,82.0,87.0,97.0,33.0,96.0,76.0,72.0,100.0,26040.0,28680.0,2640.0,6780.0,17970.0,1290.0,30.0,91.0,270.0,13950.0,2020-05-06T22:44:23-07:00,2020-05-07T06:42:23-07:00,58.98,51.0,32.0,-0.04,0.11,13.125,79,64,95,43,100,95,138,2213,3245,1697,38400,27300,12240,0,0,8460,1.28125,1,80.0,79,82,91,92,100.0,78.0,83,55.0
23,2020-05-08,83.0,80.0,86.0,52.0,98.0,82.0,91.0,100.0,24330.0,26220.0,1890.0,5130.0,17100.0,2100.0,37.0,93.0,1050.0,13470.0,2020-05-07T22:57:33-07:00,2020-05-08T06:14:33-07:00,54.89,49.0,40.0,-0.03,0.06,14.125,77,58,95,43,100,87,252,2317,6791,4204,40440,33660,8280,2220,0,1800,1.34375,1,90.0,81,81,100,99,100.0,100.0,86,100.0
24,2020-05-09,85.0,97.0,99.0,18.0,95.0,82.0,78.0,100.0,29670.0,32820.0,3150.0,8640.0,20340.0,690.0,32.0,90.0,1380.0,16470.0,2020-05-08T22:02:05-07:00,2020-05-09T07:09:05-07:00,57.72,49.0,31.0,0.34,0.17,13.125,83,88,100,43,100,97,784,2857,17115,14417,27420,29820,16440,5880,1200,5640,1.65625,0,91.0,85,89,96,99,75.0,96.0,85,94.0
25,2020-05-10,90.0,87.0,100.0,95.0,96.0,84.0,75.0,100.0,26040.0,28680.0,2640.0,9210.0,12780.0,4050.0,24.0,91.0,330.0,13950.0,2020-05-09T22:45:29-07:00,2020-05-10T06:43:29-07:00,56.22,51.0,30.0,0.08,0.22,14.0,83,84,100,43,100,98,514,2544,12472,10003,29040,34860,12240,3780,540,5940,1.46875,0,86.0,96,90,70,88,98.0,86.0,81,84.0
26,2020-05-11,86.0,89.0,96.0,96.0,76.0,75.0,72.0,100.0,26520.0,32340.0,5820.0,6360.0,15660.0,4500.0,35.0,82.0,300.0,16590.0,2020-05-10T21:30:33-07:00,2020-05-11T06:29:33-07:00,55.89,50.0,35.0,0.17,0.23,14.75,78,60,100,43,96,98,349,2437,8469,5999,40140,28860,14580,2520,0,300,1.4375,0,85.0,87,95,86,85,91.0,100.0,82,35.0
27,2020-05-12,82.0,87.0,98.0,34.0,99.0,79.0,70.0,100.0,25980.0,27840.0,1860.0,7980.0,16620.0,1380.0,30.0,93.0,240.0,13710.0,2020-05-11T22:24:08-07:00,2020-05-12T06:08:08-07:00,53.72,49.0,39.0,-0.01,0.15,14.0,81,75,100,43,96,99,479,2498,7954,8436,33000,29340,8100,2520,1020,12420,1.46875,0,87.0,78,95,93,85,100.0,95.0,86,65.0
28,2020-05-13,87.0,82.0,95.0,96.0,88.0,80.0,81.0,100.0,24900.0,28740.0,3840.0,5910.0,13770.0,5220.0,32.0,87.0,450.0,13530.0,2020-05-12T21:56:29-07:00,2020-05-13T05:55:29-07:00,52.16,46.0,42.0,-0.01,0.1,13.75,75,52,78,43,96,98,229,2283,5689,4058,44220,25860,8580,1800,60,5880,1.34375,2,89.0,89,93,79,83,100.0,85.0,88,100.0
29,2020-05-14,74.0,62.0,78.0,95.0,69.0,78.0,67.0,100.0,20370.0,25680.0,5310.0,4680.0,11430.0,4260.0,26.0,79.0,180.0,14040.0,2020-05-13T22:55:30-07:00,2020-05-14T06:03:30-07:00,53.58,48.0,39.0,0.06,0.09,15.5,76,39,100,43,96,97,197,2279,4730,3004,50400,26220,7860,1020,180,720,1.34375,0,83.0,60,85,92,87,99.0,100.0,89,68.0
30,2020-05-15,78.0,74.0,76.0,65.0,95.0,73.0,75.0,100.0,23100.0,25680.0,2580.0,4530.0,15990.0,2580.0,29.0,90.0,330.0,12210.0,2020-05-14T22:47:31-07:00,2020-05-15T05:55:31-07:00,55.92,50.0,32.0,-0.21,0.01,13.125,83,55,100,60,100,97,465,2570,8872,7625,42960,25380,14760,1440,1140,720,1.5,0,83.0,69,82,86,91,98.0,84.0,88,89.0
31,2020-05-16,87.0,97.0,97.0,74.0,65.0,75.0,89.0,93.0,29490.0,38100.0,8610.0,6930.0,19620.0,2940.0,34.0,77.0,660.0,18720.0,2020-05-15T22:00:48-07:00,2020-05-16T08:35:48-07:00,59.86,52.0,33.0,0.17,0.07,13.5,90,100,100,60,100,97,603,2597,12723,11851,10800,36180,17580,2100,840,18900,1.5,0,81.0,89,88,67,89,90.0,74.0,87,54.0
32,2020-05-17,91.0,97.0,100.0,75.0,98.0,84.0,75.0,100.0,29700.0,31920.0,2220.0,9600.0,17130.0,2970.0,30.0,93.0,360.0,15660.0,2020-05-16T22:19:31-07:00,2020-05-17T07:11:31-07:00,57.32,51.0,35.0,0.06,0.13,13.5,88,95,100,60,100,99,735,2767,12630,14398,23700,33780,12240,7440,720,8520,1.625,0,91.0,98,92,90,86,100.0,84.0,87,100.0
33,2020-05-18,94.0,92.0,99.0,93.0,98.0,90.0,89.0,100.0,27090.0,29040.0,1950.0,8520.0,14880.0,3690.0,22.0,93.0,1140.0,14880.0,2020-05-17T21:58:31-07:00,2020-05-18T06:02:31-07:00,55.67,49.0,38.0,0.17,0.23,13.5,80,56,100,60,100,98,258,2328,4610,3913,42600,30600,11040,840,480,840,1.375,0,91.0,100,93,80,77,91.0,94.0,88,100.0
34,2020-05-19,77.0,79.0,88.0,19.0,81.0,77.0,89.0,100.0,24090.0,28860.0,4770.0,5280.0,18030.0,780.0,35.0,83.0,630.0,14970.0,2020-05-18T22:02:54-07:00,2020-05-19T06:03:54-07:00,54.88,48.0,36.0,-0.07,0.15,13.5,86,77,100,60,96,98,264,2268,5855,4538,32340,30000,8820,1440,360,13440,1.34375,0,78.0,66,91,86,82,100.0,100.0,88,1.0
35,2020-05-20,88.0,86.0,96.0,96.0,95.0,74.0,81.0,100.0,25890.0,28740.0,2850.0,6030.0,14550.0,5310.0,36.0,90.0,450.0,14310.0,2020-05-19T22:09:03-07:00,2020-05-20T06:08:03-07:00,56.84,49.0,39.0,-0.19,0.01,15.875,80,41,100,60,96,96,177,2285,4057,2556,49620,22200,13020,300,0,1260,1.34375,0,85.0,91,91,94,85,99.0,63.0,89,74.0
36,2020-05-21,76.0,52.0,79.0,97.0,93.0,89.0,81.0,91.0,17970.0,20160.0,2190.0,4710.0,7530.0,5730.0,23.0,89.0,480.0,9660.0,2020-05-21T00:36:59-07:00,2020-05-21T06:12:59-07:00,60.23,49.0,25.0,0.17,0.06,14.25,91,80,100,78,100,96,512,2588,12631,10088,30480,32520,19620,3060,180,540,1.5,0,75.0,64,81,91,90,90.0,84.0,85,14.0
37,2020-05-22,94.0,96.0,96.0,96.0,100.0,87.0,86.0,100.0,28560.0,29940.0,1380.0,6480.0,17220.0,4860.0,30.0,95.0,600.0,15150.0,2020-05-21T22:13:59-07:00,2020-05-22T06:32:59-07:00,55.58,49.0,35.0,0.05,0.13,14.125,91,84,100,78,100,96,535,2633,13256,10311,29100,28080,20340,2880,360,5640,1.53125,0,86.0,100,84,90,84,100.0,100.0,85,44.0
38,2020-05-23,88.0,88.0,96.0,81.0,100.0,82.0,75.0,100.0,26190.0,27720.0,1530.0,6090.0,16860.0,3240.0,31.0,94.0,360.0,13560.0,2020-05-22T22:58:02-07:00,2020-05-23T06:40:02-07:00,54.02,48.0,36.0,-0.16,0.07,14.125,83,76,78,60,100,96,398,2433,9312,7204,32580,31320,15180,1860,420,5040,1.4375,2,87.0,91,85,88,81,100.0,97.0,86,76.0
39,2020-05-24,87.0,88.0,99.0,77.0,83.0,84.0,75.0,100.0,26340.0,30840.0,4500.0,8340.0,14970.0,3030.0,32.0,85.0,1440.0,14760.0,2020-05-23T21:57:18-07:00,2020-05-24T06:31:18-07:00,55.0,48.0,38.0,-0.06,0,15.125,89,97,100,60,100,97,860,2985,19828,16671,21120,29100,30420,4020,1020,720,1.75,0,86.0,88,85,89,82,100.0,98.0,87,67.0
40,2020-05-25,77.0,69.0,59.0,96.0,83.0,76.0,75.0,100.0,21840.0,25740.0,3900.0,3570.0,13590.0,4680.0,32.0,85.0,330.0,12150.0,2020-05-24T22:08:59-07:00,2020-05-25T05:17:59-07:00,51.76,47.0,43.0,-0.6,-0.22,14.25,94,98,100,78,100,98,627,2669,13570,11639,19980,34200,19740,2700,1080,8700,1.5625,0,82.0,66,81,71,69,85.0,99.0,89,99.0
41,2020-05-26,88.0,95.0,73.0,97.0,88.0,73.0,81.0,100.0,28140.0,32400.0,4260.0,4380.0,18060.0,5700.0,36.0,87.0,450.0,15570.0,2020-05-25T20:31:30-07:00,2020-05-26T05:31:30-07:00,52.49,45.0,48.0,0.0,-0.18,15.625,87,56,100,78,100,99,414,2506,8708,6834,41820,26640,13800,2160,780,1200,1.46875,0,87.0,91,86,81,65,100.0,89.0,92,100.0
